_id,nom,adresse,ville,telephone,email,description,etoiles,image,admin,services,createdAt,updatedAt,__v
6956e0fd33e2abe4be8bd2ac,Crystal Bay Hotel,206 Rue de la Victoire,Bordeaux,+33 7 46673279,contact@grand-palais-luxury.com,"Hôtel de luxe situé à Bordeaux, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",4,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd2d4'), ObjectId('6956e0fd33e2abe4be8bd2d6'), ObjectId('6956e0fd33e2abe4be8bd2d8'), ObjectId('6956e0fd33e2abe4be8bd2da'), ObjectId('6956e0fd33e2abe4be8bd2dc'), ObjectId('6956e0fd33e2abe4be8bd2de'), ObjectId('6956e0fd33e2abe4be8bd2e0'), ObjectId('6956e0fd33e2abe4be8bd2e2'), ObjectId('6956e0fd33e2abe4be8bd2e4'), ObjectId('6956e0fd33e2abe4be8bd2e6'), ObjectId('6956e0fd33e2abe4be8bd2e8'), ObjectId('6956e0fd33e2abe4be8bd2ea')]",2026-01-01 21:02:53.243,2026-01-01 21:02:53.315,1
6956e0fd33e2abe4be8bd2ae,Eden Garden Hotel,33 Rue de la Joie,Saint-Tropez,+33 9 56623767,contact@horizon-resort-&-spa.com,"Hôtel de luxe situé à Saint-Tropez, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",5,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd2ed'), ObjectId('6956e0fd33e2abe4be8bd2ef'), ObjectId('6956e0fd33e2abe4be8bd2f1'), ObjectId('6956e0fd33e2abe4be8bd2f3'), ObjectId('6956e0fd33e2abe4be8bd2f5'), ObjectId('6956e0fd33e2abe4be8bd2f7'), ObjectId('6956e0fd33e2abe4be8bd2f9'), ObjectId('6956e0fd33e2abe4be8bd2fb'), ObjectId('6956e0fd33e2abe4be8bd2fd'), ObjectId('6956e0fd33e2abe4be8bd2ff'), ObjectId('6956e0fd33e2abe4be8bd301')]",2026-01-01 21:02:53.254,2026-01-01 21:02:53.354,1
6956e0fd33e2abe4be8bd2b0,Grand Palais Luxury,381 Rue de la Paix,Nice,+33 4 55634181,contact@royal-crown-hotel.com,"Hôtel de luxe situé à Nice, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",3,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd304'), ObjectId('6956e0fd33e2abe4be8bd306'), ObjectId('6956e0fd33e2abe4be8bd308'), ObjectId('6956e0fd33e2abe4be8bd30a'), ObjectId('6956e0fd33e2abe4be8bd30c'), ObjectId('6956e0fd33e2abe4be8bd30e'), ObjectId('6956e0fd33e2abe4be8bd310'), ObjectId('6956e0fd33e2abe4be8bd312'), ObjectId('6956e0fd33e2abe4be8bd314'), ObjectId('6956e0fd33e2abe4be8bd316')]",2026-01-01 21:02:53.256,2026-01-01 21:02:53.366,1
6956e0fd33e2abe4be8bd2b2,Royal Crown Hotel,30 Rue de la Paix,Rennes,+33 6 92752547,contact@étoile-bleue-palace.com,"Hôtel de luxe situé à Rennes, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",4,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd319'), ObjectId('6956e0fd33e2abe4be8bd31b'), ObjectId('6956e0fd33e2abe4be8bd31d'), ObjectId('6956e0fd33e2abe4be8bd31f'), ObjectId('6956e0fd33e2abe4be8bd321'), ObjectId('6956e0fd33e2abe4be8bd323'), ObjectId('6956e0fd33e2abe4be8bd325'), ObjectId('6956e0fd33e2abe4be8bd327'), ObjectId('6956e0fd33e2abe4be8bd329'), ObjectId('6956e0fd33e2abe4be8bd32b'), ObjectId('6956e0fd33e2abe4be8bd32d')]",2026-01-01 21:02:53.257,2026-01-01 21:02:53.383,1
6956e0fd33e2abe4be8bd2b4,Horizon Resort & Spa,190 Rue de la République,Saint-Jean-Cap-Ferrat,+33 9 43175259,contact@riviera-élégance.com,"Hôtel de luxe situé à Saint-Jean-Cap-Ferrat, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",4,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd330'), ObjectId('6956e0fd33e2abe4be8bd332'), ObjectId('6956e0fd33e2abe4be8bd334'), ObjectId('6956e0fd33e2abe4be8bd336'), ObjectId('6956e0fd33e2abe4be8bd338'), ObjectId('6956e0fd33e2abe4be8bd33a'), ObjectId('6956e0fd33e2abe4be8bd33c'), ObjectId('6956e0fd33e2abe4be8bd33e'), ObjectId('6956e0fd33e2abe4be8bd340'), ObjectId('6956e0fd33e2abe4be8bd342'), ObjectId('6956e0fd33e2abe4be8bd344'), ObjectId('6956e0fd33e2abe4be8bd346')]",2026-01-01 21:02:53.259,2026-01-01 21:02:53.403,1
6956e0fd33e2abe4be8bd2b6,Sunset Lounge Resort,189 Rue de la République,Biarritz,+33 4 56886903,contact@le-premier-boutique.com,"Hôtel de luxe situé à Biarritz, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",4,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd349'), ObjectId('6956e0fd33e2abe4be8bd34b'), ObjectId('6956e0fd33e2abe4be8bd34d'), ObjectId('6956e0fd33e2abe4be8bd34f'), ObjectId('6956e0fd33e2abe4be8bd351'), ObjectId('6956e0fd33e2abe4be8bd353'), ObjectId('6956e0fd33e2abe4be8bd355'), ObjectId('6956e0fd33e2abe4be8bd357'), ObjectId('6956e0fd33e2abe4be8bd359'), ObjectId('6956e0fd33e2abe4be8bd35b')]",2026-01-01 21:02:53.260,2026-01-01 21:02:53.414,1
6956e0fd33e2abe4be8bd2b8,Le Premier Boutique,8 Rue de la Liberté,Megeve,+33 1 80102082,contact@château-montagne.com,"Hôtel de luxe situé à Megeve, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",5,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd35e'), ObjectId('6956e0fd33e2abe4be8bd360'), ObjectId('6956e0fd33e2abe4be8bd362'), ObjectId('6956e0fd33e2abe4be8bd364'), ObjectId('6956e0fd33e2abe4be8bd366'), ObjectId('6956e0fd33e2abe4be8bd368'), ObjectId('6956e0fd33e2abe4be8bd36a'), ObjectId('6956e0fd33e2abe4be8bd36c'), ObjectId('6956e0fd33e2abe4be8bd36e'), ObjectId('6956e0fd33e2abe4be8bd370')]",2026-01-01 21:02:53.261,2026-01-01 21:02:53.426,1
6956e0fd33e2abe4be8bd2ba,Prestige Continental,413 Rue de la Paix,Lyon,+33 3 36471837,contact@marina-vista-deluxe.com,"Hôtel de luxe situé à Lyon, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",3,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd373'), ObjectId('6956e0fd33e2abe4be8bd375'), ObjectId('6956e0fd33e2abe4be8bd377'), ObjectId('6956e0fd33e2abe4be8bd379'), ObjectId('6956e0fd33e2abe4be8bd37b'), ObjectId('6956e0fd33e2abe4be8bd37d'), ObjectId('6956e0fd33e2abe4be8bd37f'), ObjectId('6956e0fd33e2abe4be8bd381'), ObjectId('6956e0fd33e2abe4be8bd383'), ObjectId('6956e0fd33e2abe4be8bd385'), ObjectId('6956e0fd33e2abe4be8bd387'), ObjectId('6956e0fd33e2abe4be8bd389')]",2026-01-01 21:02:53.262,2026-01-01 21:02:53.442,1
6956e0fd33e2abe4be8bd2bc,Diamond Plaza,390 Rue de la Victoire,Saint-Tropez,+33 8 58947255,contact@prestige-continental.com,"Hôtel de luxe situé à Saint-Tropez, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",3,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd38c'), ObjectId('6956e0fd33e2abe4be8bd38e'), ObjectId('6956e0fd33e2abe4be8bd390'), ObjectId('6956e0fd33e2abe4be8bd392'), ObjectId('6956e0fd33e2abe4be8bd394'), ObjectId('6956e0fd33e2abe4be8bd396'), ObjectId('6956e0fd33e2abe4be8bd398'), ObjectId('6956e0fd33e2abe4be8bd39a'), ObjectId('6956e0fd33e2abe4be8bd39c'), ObjectId('6956e0fd33e2abe4be8bd39e'), ObjectId('6956e0fd33e2abe4be8bd3a0')]",2026-01-01 21:02:53.264,2026-01-01 21:02:53.453,1
6956e0fd33e2abe4be8bd2be,Essence of France,134 Rue de la Victoire,Megeve,+33 1 58070337,contact@eden-garden-hotel.com,"Hôtel de luxe situé à Megeve, offrant des services de première classe avec spa, restaurants et équipements de loisirs haut de gamme.",3,,6956e0f533e2abe4be8bd1e1,"[ObjectId('6956e0fd33e2abe4be8bd3a3'), ObjectId('6956e0fd33e2abe4be8bd3a5'), ObjectId('6956e0fd33e2abe4be8bd3a7'), ObjectId('6956e0fd33e2abe4be8bd3a9'), ObjectId('6956e0fd33e2abe4be8bd3ab'), ObjectId('6956e0fd33e2abe4be8bd3ad'), ObjectId('6956e0fd33e2abe4be8bd3af'), ObjectId('6956e0fd33e2abe4be8bd3b1'), ObjectId('6956e0fd33e2abe4be8bd3b3'), ObjectId('6956e0fd33e2abe4be8bd3b5')]",2026-01-01 21:02:53.266,2026-01-01 21:02:53.465,1
